frame_idx;frame_time;movement_code;is_washing;dataset;annotator;video;L_x_0;L_y_0;L_z_0;L_x_1;L_y_1;L_z_1;L_x_2;L_y_2;L_z_2;L_x_3;L_y_3;L_z_3;L_x_4;L_y_4;L_z_4;L_x_5;L_y_5;L_z_5;L_x_6;L_y_6;L_z_6;L_x_7;L_y_7;L_z_7;L_x_8;L_y_8;L_z_8;L_x_9;L_y_9;L_z_9;L_x_10;L_y_10;L_z_10;L_x_11;L_y_11;L_z_11;L_x_12;L_y_12;L_z_12;L_x_13;L_y_13;L_z_13;L_x_14;L_y_14;L_z_14;L_x_15;L_y_15;L_z_15;L_x_16;L_y_16;L_z_16;L_x_17;L_y_17;L_z_17;L_x_18;L_y_18;L_z_18;L_x_19;L_y_19;L_z_19;L_x_20;L_y_20;L_z_20;L_cx;L_cy;L_scale;R_x_0;R_y_0;R_z_0;R_x_1;R_y_1;R_z_1;R_x_2;R_y_2;R_z_2;R_x_3;R_y_3;R_z_3;R_x_4;R_y_4;R_z_4;R_x_5;R_y_5;R_z_5;R_x_6;R_y_6;R_z_6;R_x_7;R_y_7;R_z_7;R_x_8;R_y_8;R_z_8;R_x_9;R_y_9;R_z_9;R_x_10;R_y_10;R_z_10;R_x_11;R_y_11;R_z_11;R_x_12;R_y_12;R_z_12;R_x_13;R_y_13;R_z_13;R_x_14;R_y_14;R_z_14;R_x_15;R_y_15;R_z_15;R_x_16;R_y_16;R_z_16;R_x_17;R_y_17;R_z_17;R_x_18;R_y_18;R_z_18;R_x_19;R_y_19;R_z_19;R_x_20;R_y_20;R_z_20;R_cx;R_cy;R_scale;L_nx_0;L_ny_0;L_nx_1;L_ny_1;L_nx_2;L_ny_2;L_nx_3;L_ny_3;L_nx_4;L_ny_4;L_nx_5;L_ny_5;L_nx_6;L_ny_6;L_nx_7;L_ny_7;L_nx_8;L_ny_8;L_nx_9;L_ny_9;L_nx_10;L_ny_10;L_nx_11;L_ny_11;L_nx_12;L_ny_12;L_nx_13;L_ny_13;L_nx_14;L_ny_14;L_nx_15;L_ny_15;L_nx_16;L_ny_16;L_nx_17;L_ny_17;L_nx_18;L_ny_18;L_nx_19;L_ny_19;L_nx_20;L_ny_20;L_tip0_wrist_dist;L_tip1_wrist_dist;L_tip2_wrist_dist;L_tip3_wrist_dist;L_tip4_wrist_dist;L_angle_index_pip;L_angle_middle_pip;L_angle_ring_pip;L_angle_pinky_pip;L_angle_thumb_pip;R_nx_0;R_ny_0;R_nx_1;R_ny_1;R_nx_2;R_ny_2;R_nx_3;R_ny_3;R_nx_4;R_ny_4;R_nx_5;R_ny_5;R_nx_6;R_ny_6;R_nx_7;R_ny_7;R_nx_8;R_ny_8;R_nx_9;R_ny_9;R_nx_10;R_ny_10;R_nx_11;R_ny_11;R_nx_12;R_ny_12;R_nx_13;R_ny_13;R_nx_14;R_ny_14;R_nx_15;R_ny_15;R_nx_16;R_ny_16;R_nx_17;R_ny_17;R_nx_18;R_ny_18;R_nx_19;R_ny_19;R_nx_20;R_ny_20;R_tip0_wrist_dist;R_tip1_wrist_dist;R_tip2_wrist_dist;R_tip3_wrist_dist;R_tip4_wrist_dist;R_angle_index_pip;R_angle_middle_pip;R_angle_ring_pip;R_angle_pinky_pip;R_angle_thumb_pip;L_nvx_0;L_nvy_0;L_nvx_1;L_nvy_1;L_nvx_2;L_nvy_2;L_nvx_3;L_nvy_3;L_nvx_4;L_nvy_4;L_nvx_5;L_nvy_5;L_nvx_6;L_nvy_6;L_nvx_7;L_nvy_7;L_nvx_8;L_nvy_8;L_nvx_9;L_nvy_9;L_nvx_10;L_nvy_10;L_nvx_11;L_nvy_11;L_nvx_12;L_nvy_12;L_nvx_13;L_nvy_13;L_nvx_14;L_nvy_14;L_nvx_15;L_nvy_15;L_nvx_16;L_nvy_16;L_nvx_17;L_nvy_17;L_nvx_18;L_nvy_18;L_nvx_19;L_nvy_19;L_nvx_20;L_nvy_20;R_nvx_0;R_nvy_0;R_nvx_1;R_nvy_1;R_nvx_2;R_nvy_2;R_nvx_3;R_nvy_3;R_nvx_4;R_nvy_4;R_nvx_5;R_nvy_5;R_nvx_6;R_nvy_6;R_nvx_7;R_nvy_7;R_nvx_8;R_nvy_8;R_nvx_9;R_nvy_9;R_nvx_10;R_nvy_10;R_nvx_11;R_nvy_11;R_nvx_12;R_nvy_12;R_nvx_13;R_nvy_13;R_nvx_14;R_nvy_14;R_nvx_15;R_nvy_15;R_nvx_16;R_nvy_16;R_nvx_17;R_nvy_17;R_nvx_18;R_nvy_18;R_nvx_19;R_nvy_19;R_nvx_20;R_nvy_20
0;0.0;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;33.333333333333336;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;66.66666666666667;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;100.0;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;133.33333333333334;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;166.66666666666666;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;115.68948745727539;80.18492460250854;-2.922636888058605e-08;118.03849220275879;87.96273708343506;-0.012828994542360306;116.90887451171875;98.0742859840393;-0.019623087719082832;116.33661270141602;108.08486938476562;-0.02446507103741169;116.91176414489746;116.21546030044556;-0.02845333330333233;112.41954803466797;103.68332147598267;-0.018350351601839066;115.2055549621582;118.38637590408325;-0.03241045027971268;118.58089447021484;127.49220371246338;-0.041988227516412735;121.6446304321289;133.66320133209229;-0.047315411269664764;112.51396179199219;104.66379404067993;-0.017076266929507256;116.63269996643066;119.87068176269531;-0.030181502923369408;120.65491676330566;129.64330673217773;-0.03796031326055527;124.76590156555176;136.9003200531006;-0.042452964931726456;113.83994102478027;104.9723482131958;-0.01690121740102768;117.33242988586426;119.31606531143188;-0.028487931936979294;121.01524353027344;128.48695278167725;-0.03286745399236679;124.88893508911133;135.41728019714355;-0.03428652882575989;116.11281394958496;104.91966247558594;-0.017686085775494576;117.54972457885742;116.40179872512817;-0.0273677296936512;119.38533782958984;124.04937744140625;-0.030460206791758537;121.56062126159668;130.00322341918945;-0.031012628227472305;117.9994469597226;115.63772337777274;35.52797283693964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.06501804966607806;-0.9978840880671559;0.0010990000250053126;-0.778963281168777;-0.03069616307716688;-0.49435517963108033;-0.04680352200049206;-0.2125889373894747;-0.030614829048007;0.0162614660094572;-0.1570564960366392;-0.3364785814450038;-0.07863921790267461;0.0773658699562121;0.01636590731367844;0.3336661055528935;0.10260037883772194;0.5073601591920224;-0.1543990475591383;-0.3088813816498656;-0.03846960251756574;0.11914438249405038;0.07474307120675565;0.3942128479630819;0.19045428335820616;0.598474806680228;-0.1170769284820425;-0.30019655817479657;-0.01877441972047519;0.10353368458542177;0.08488512937093914;0.3616651437693265;0.1939172876822707;0.5567319281106108;-0.05310274860872577;-0.30167949495398383;-0.012658261785135988;0.021506302959143075;0.03900844205854272;0.2367614415334056;0.10023578655102443;0.40434336367428236;36.05126160041306;53.80882650473698;57.43707316865958;55.993240138994466;50.16306518880554;170.3907927601346;172.7837065993715;171.8051787348192;173.63598146531353;176.89738991890044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;200.0;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115.97470283508301;82.67623901367188;1.8974400717297613e-08;116.04840278625488;91.68281078338623;-0.0031177084892988205;115.67427635192871;103.23383331298828;-0.00702801113948226;116.34533882141113;112.55268573760986;-0.010987593792378902;117.84904479980469;120.41255950927734;-0.014657199382781982;112.05150604248047;107.09285259246826;-0.010531388223171234;115.23290634155273;120.76842784881592;-0.0233843382447958;119.98237609863281;129.86779689788818;-0.03280916064977646;124.8403549194336;136.18486404418945;-0.03813604637980461;112.15119361877441;106.99132919311523;-0.014413300901651382;115.39933204650879;120.98779678344727;-0.02530341036617756;120.44443130493164;130.340838432312;-0.0315859280526638;125.61653137207031;137.28721618652344;-0.03554258495569229;114.0846061706543;106.37749671936035;-0.01863916777074337;116.33617401123047;119.89222526550293;-0.027064966037869453;120.65680503845215;129.0979528427124;-0.0295738335698843;125.24256706237793;135.96832752227783;-0.03059118241071701;117.20512390136719;105.22269487380981;-0.023179739713668823;117.27557182312012;116.3816785812378;-0.030626999214291573;119.27675247192383;124.50415134429932;-0.03252140060067177;122.20529556274414;130.78173637390137;-0.032708775252103806;118.09015682765416;117.53835780279977;34.92624331447556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.060569182134007936;-0.9981640016428249;-0.05845902243236808;-0.7402899529333984;-0.06917092267762323;-0.40956378735078036;-0.04995721957648573;-0.14274859223475478;-0.006903462982791977;0.08229346857027517;-0.17289723176929545;-0.2990732532062001;-0.08180812520759145;0.0924826073314737;0.05417757798745009;0.3530136059602593;0.19327008722354475;0.5338823896259532;-0.1700430004854909;-0.30198004734489153;-0.0770430634900297;0.09876352717321425;0.06740703419144224;0.3665576201321978;0.2154933892159186;0.5654446773993166;-0.11468598614898025;-0.319555154642517;-0.05021962427023261;0.0673953806456928;0.07348766907702947;0.3309716116855212;0.204786130885121;0.5276825667603239;-0.02534005499297877;-0.3526191700063428;-0.02332300663428135;-0.03311776795309029;0.033974327945481476;0.19944296553109397;0.11782368627617106;0.37918130649948084;37.78284058071561;54.23811150415621;55.45560102740188;54.091958782657;48.50731039764038;165.5334274789121;164.72252326014782;164.3160445533012;166.52106956603018;174.02606116807894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;233.33333333333334;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117.65700340270996;83.13134908676147;-3.714136909138688e-08;122.79715538024902;90.02323150634766;-0.0035258193966001272;124.10039901733398;99.90919589996338;-0.004066180437803268;124.74308967590332;108.6561369895935;-0.004560790490359068;126.06301307678223;115.66075086593628;-0.004547541495412588;117.8390121459961;108.05386304855347;-0.00072319625178352;119.91227149963379;119.71008539199829;-0.007742352783679962;123.89787673950195;127.010178565979;-0.014525698497891426;128.2880401611328;132.00725555419922;-0.018731584772467613;116.72683715820312;109.00104761123657;-0.0021735446061939;119.1983413696289;121.06155395507812;-0.007937154732644558;123.53277206420898;128.51873874664307;-0.012871949002146721;128.50149154663086;133.55853080749512;-0.01612331159412861;116.48219108581543;109.08114194869995;-0.004659125581383705;118.46589088439941;120.48145294189453;-0.009434661827981472;122.77714729309082;127.54775047302246;-0.012356217950582504;127.71560668945312;132.35618591308594;-0.014015269465744495;116.82027816772461;108.29073429107666;-0.007717045955359936;117.9098129272461;117.57507562637329;-0.012069791555404663;120.67237854003906;123.6023998260498;-0.013729316182434559;124.34872627258301;128.0407476425171;-0.01415823120623827;121.83092071896507;116.34654317583356;33.47642012129827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.1246823077596519;-0.9921967154409086;0.028863141810949303;-0.7863239729369559;0.06779333901730517;-0.49101269539309134;0.08699164804319903;-0.2297260626546889;0.1264200993559829;-0.020485831741039948;-0.11924538401969872;-0.24771705269656802;-0.057313452644555875;0.10047496727479496;0.06174363964388909;0.3185416884931808;0.19288560182872147;0.4678132345579582;-0.1524680220366408;-0.2194229710937239;-0.07863981094147152;0.14084572849068755;0.05083731591004746;0.36360505474315485;0.19926177301801318;0.5141525757322838;-0.15977603381033842;-0.217030411280782;-0.1005194050729687;0.12351708310143568;0.028265464786772106;0.3345999141067806;0.1757859994935394;0.47823640279465757;-0.14967677347473032;-0.24064128887042066;-0.11713043920201927;0.03669844165201278;-0.03460770819365264;0.21674529785220212;0.07521131424730992;0.34932661330903414;33.59796093145501;50.01872824825378;51.58006959475272;50.24201489449193;45.40521152474555;161.4525080340069;161.414062137208;158.48285922286806;162.06925881179222;176.69245054422166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9233937687693192;0.17901858605749;2.6196649272995214;-1.381020600106725;4.108927850847852;-2.4434672412693295;4.108466028590543;-2.6093241125980233;3.999706870163246;-3.0833790093394535;1.6095554324879016;1.5406860152889623;0.7348401768910674;0.23977079829963777;0.22698184969316998;-1.0341575240123553;-0.011534561844698255;-1.9820746520398513;0.5272493534655026;2.4767122875350287;-0.0479024235432543;1.262466039524199;-0.4970915484418434;-0.08857696167128781;-0.48694848593716256;-1.538763050010984;-1.3527014298407452;3.0757423008520504;-1.5089934240820828;1.6836510736722865;-1.3566661287077209;0.10884907263778165;-0.8700039417474476;-1.4833849189699895;-3.730101554452547;3.359336434077664;-2.8142229770321374;2.094486288153092;-2.0574610841740237;0.5190699696332444;-1.278371160865834;-0.895640795713401
8;266.6666666666667;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.89867210388184;77.6533842086792;-1.3780377727812265e-08;126.58266067504883;82.94553995132446;-0.006258404813706875;128.13570022583008;92.73610353469849;-0.007932682521641254;127.98880577087402;101.90104007720947;-0.008674810640513897;128.71715545654297;108.58634948730469;-0.008472077548503876;121.2496566772461;101.22052431106567;-0.0026852244045585394;123.38689804077148;112.6699161529541;-0.008227531798183918;125.90695381164551;119.9419641494751;-0.013134259730577469;127.87894248962402;125.44033527374268;-0.016626833006739616;119.64713096618652;102.4076771736145;-0.003071320941671729;122.7581787109375;114.16638851165771;-0.00821348000317812;125.29223442077637;121.5325927734375;-0.01264567393809557;127.56051063537598;127.57696151733398;-0.0156488548964262;118.94926071166992;102.95099258422852;-0.00453179981559515;121.8147087097168;113.94101858139038;-0.009357214905321598;124.59147453308105;121.24598979949951;-0.011328891851007938;127.09219932556152;127.1308422088623;-0.012242443859577179;118.92741203308105;103.05988311767578;-0.006857234984636307;120.97322463989258;112.40060806274414;-0.010817328467965126;122.89475440979004;118.43597173690796;-0.01116709504276514;124.71735954284668;123.29840183258057;-0.010708672925829887;124.04589970906575;110.05916595458984;32.67008092081798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.1269426793045139;-0.9919100544762067;0.0776478323433416;-0.8299222174863998;0.12518489093053428;-0.5302424093125763;0.12068859184538414;-0.24971244782506377;0.14298268066121034;-0.04508150655808907;-0.0855903307554356;-0.27054238601202923;-0.02017141218264746;0.07991257213876808;0.05696509008013687;0.3025030216128957;0.11732578164860887;0.47080291464327734;-0.13464211348421393;-0.2342047697867706;-0.039415910883394564;0.12571816295841107;0.03814911615099273;0.3511906458589938;0.10757888646889303;0.5362030049818909;-0.1560032559989209;-0.21757440355257487;-0.06829462726941693;0.11881980446295586;0.01669952472225601;0.34241800233133846;0.09324432418392373;0.5225477186802459;-0.1566720232003803;-0.21424136823775022;-0.09405165162034254;0.07166930849755829;-0.03523545907540683;0.25640603102945664;0.020552744739394342;0.4052403760516686;32.16541604844886;48.44870903877961;50.508091836614845;49.99765678558276;45.898664278175936;171.4603786034691;175.83562766787875;173.80067730993167;174.69353658474574;170.0682386985185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.06781114634585958;0.008599828941056042;1.463540715971769;-1.3079473364833183;1.7217465573968735;-1.176891417584548;1.010908314065553;-0.5995915551112463;0.4968774391568234;-0.7378702445114736;1.009651597927894;-0.6847599994638365;1.1142612138572525;-0.6168718540808065;-0.14335648691256656;-0.48116000640855305;-2.266794605403378;0.08969040255957406;0.5347772565728065;-0.44345396079140065;1.1767170017423085;-0.45382696596829447;-0.380645992771642;-0.37243226652483197;-2.7504865964736043;0.6615128774882129;0.11318333434252564;-0.016319768153786607;0.9667433341065533;-0.1409183591543947;-0.34697820193548295;0.2345426467367362;-2.47625025928847;1.3293394765676487;-0.20985749176949897;0.7919976189801131;0.6923636274503018;1.0491260053663651;-0.018832526452625606;1.1898219953176357;-1.6397570852374674;1.6774128822790346
9;300.0;0.0;1.0;DataSet4;Annotator1;2020-06-26_21-26-56_camera104.mp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126.4034652709961;77.59679317474365;1.207685755844068e-07;133.5197353363037;84.48904037475586;0.0018162020714953542;135.61846733093262;94.35740947723389;0.0033527896739542484;135.48263549804688;102.74641513824463;0.0034023572225123644;136.23766899108887;109.51440811157227;0.003561479039490223;130.16952514648438;102.4555492401123;0.009524635970592499;130.18123626708984;113.09781789779663;0.00529911695048213;131.06595993041992;120.74629783630371;3.0474893719656393e-05;131.61617279052734;126.87346458435059;-0.004001236986368895;127.26543426513672;103.49154710769653;0.004424662329256535;127.4831485748291;114.93834257125854;0.0010456261225044727;128.24434280395508;122.8549861907959;-0.0037831186782568693;128.69494438171387;129.72847938537598;-0.007358756382018328;124.68897819519043;103.8150143623352;-0.0016601354582235217;124.57108497619629;114.41534042358398;-0.004389547742903233;125.19580841064453;121.95420742034912;-0.006142471916973591;125.88995933532715;128.33879470825195;-0.007614200469106436;122.41616249084473;103.21196794509888;-0.008294218219816685;121.7219066619873;111.60497188568115;-0.009845146909356117;121.72636985778809;117.19317197799683;-0.009252980351448059;122.1467399597168;122.09052085876465;-0.008892746642231941;128.11141649881998;110.73878765106201;33.185974375704895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.051466056367302476;-0.998674744369756;0.1629700178833112;-0.7909891986032304;0.22621155392708533;-0.49362354072751774;0.22211850451566942;-0.24083585500109694;0.24487008879926198;-0.03689448818432469;0.06201742411912176;-0.24960057876178496;0.0623703177986288;0.07108515844758925;0.08902988347278827;0.3015584256151325;0.10560956421014903;0.4861896399552638;-0.025492161962934363;-0.21838263542658273;-0.018931730522001016;0.12654607855272085;0.004005496527846854;0.3650999787610283;0.017583569380475516;0.5722204061067473;-0.10312905882718572;-0.20863552808006833;-0.10668156018391697;0.11078634398071309;-0.08785663651659818;0.33795662114106256;-0.06693963957011714;0.5303447431718239;-0.17161629619483726;-0.22680725359305529;-0.1925364542410533;0.026100913139174394;-0.1924019638159643;0.19449133100217186;-0.1797348624324214;0.34206418287398915;33.39828896910666;49.55161616834057;52.18202356826236;50.7445997912342;44.69688483099804;173.46479227221846;175.5974452763786;174.6256950252201;175.22558926744009;167.06600541004752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2642986881163423;-0.20294069680647842;2.559665566199088;1.167990566495084;3.0307998898965316;1.098566057551756;3.0428973801085584;0.26629778471900484;3.056622244141549;0.24561055121293135;4.4282326462367205;0.6282542175073283;2.476251899438288;-0.2648224107353649;0.961943801779542;-0.028337879932895937;-0.3514865231537952;0.46160175935959447;3.2744985456383873;0.474664030805636;0.6145254108418065;0.024837467829293414;-1.0243085886943764;0.417279987061035;-2.6998595126525253;1.0805220337456922;1.5862259151520555;0.2681662641751964;-1.1516079874350014;-0.24100381446728297;-3.136684837165626;-0.13384143570827678;-4.805518912621226;0.23391073474734125;-0.4483281898337091;-0.37697656065915186;-2.954544078621323;-1.3670518607515167;-4.714995142216725;-1.8574410008185434;-6.008628215154472;-1.8952857953303843
